text,original_text,domain,AMBIENCE#GENERAL,DRINKS#PRICES,DRINKS#QUALITY,DRINKS#STYLE&OPTIONS,FOOD#PRICES,FOOD#QUALITY,FOOD#STYLE&OPTIONS,LOCATION#GENERAL,RESTAURANT#GENERAL,RESTAURANT#MISCELLANEOUS,RESTAURANT#PRICES,SERVICE#GENERAL
bên ngoài giòn giòn ăn cực thích bên trong cơm nhật với dưa leo trứng thanh cua mềm rất tuyệt,". Bên ngoài giòn giòn ăn cực thích. Bên trong cơm nhật với dưa leo, trứng, thanh cua mềm rất tuyệt",restaurant,0,0,0,0,0,1,0,0,0,0,0,0
cấp độ đã đủ sức chịu đựng của mình ăn vừa nóng vừa cay cay mà toát hết mồ hôi hột vừa khẩu vị của mỗi người không gian có phần hơi chật nhưng thoáng và trang trí đẹp theo phong cách hường cuốc,. Cấp độ 3 đã đủ sức chịu đựng của mình. Ăn vừa nóng vừa cay cay mà toát hết mồ hôi hột😢😢 vừa khẩu vị của mỗi người . Không gian có phần hơi chật nhưng thoáng và trang trí đẹp theo phong cách Hường Cuốc,restaurant,0,0,0,0,0,1,0,0,0,0,0,0
gà rán giòn ướp vị chua cay rất ngon bánh ăn kèm giòn và thơm mùi bơ,". Gà rán giòn ướp vị chua cay rất ngon, bánh ăn kèm giòn và thơm mùi bơ",restaurant,0,0,0,0,0,1,1,0,0,0,0,0
lần đầu ăn đây thấy rất ngon mà cũng lạ chỗ mới mở tại vincom quang trung nên còn nhiều món chưa có nhưng ăn đây sẽ no căng luôn,. Lần đầu ăn ở đây thấy rất ngon mà cũng lạ chỗ mới mở tại Vincom Quang Trung nên còn nhiều món chưa có nhưng ăn ở đây sẽ no căng luôn,restaurant,0,0,0,0,0,1,1,0,0,0,0,0
lần đầu ăn đây thấy rất ngon mà cũng lạ chỗ mới mở tại vincom quang trung nên còn nhiều món chưa có nhưng ăn đây sẽ no căng luôn tặng kèm cả cơm và canh nếu phần đó chỉ có đồ ăn,. Lần đầu ăn ở đây thấy rất ngon mà cũng lạ chỗ mới mở tại Vincom Quang Trung nên còn nhiều món chưa có nhưng ăn ở đây sẽ no căng luôn ❤️ Tặng kèm cả cơm và canh nếu phần đó chỉ có đồ ăn.,restaurant,0,0,0,0,1,1,1,0,0,0,0,0
mì cay hàn quốc êiii mì dai nah nhiều hải sản nah tôm mực nước dùng bao cay nah đáng đồng tiền lúmm nha phục vụ nhiệt tình giá cả hợp lí neh,". Mì Cay Hàn Quốc êiii ❤️. Mì dai nah ❤️. Nhiều hải sản nah ❤️ (tôm, mực,...). Nước dùng bao cay nah ❤️❤️. Đáng đồng tiền lúmm nha ❤️❤️. Phục vụ nhiệt tình 🌸. Giá cả hợp lí neh",restaurant,0,0,0,0,1,1,1,0,0,0,0,1
mì hến bắc hà nước hến ngon một số chỗ có dùng bột ngọt cho nào nước mì làm mất đi vị ngọt tự nhiên của hến ko quá cay như bên mì hến ngô văn sở quán mát rộng rãi,". Mì hến Bắc Hà. Nước hến ngon một số chỗ có dùng bột ngọt cho nào nước mì làm mất đi vị ngọt tự nhiên của hến, ko quá cay như bên mì hến Ngô Văn Sở. Quán mát, rộng rãi 😊",restaurant,1,0,0,0,0,1,0,0,0,0,0,0
xem qua chương trình ẩm thực của nghệ sĩ việt hương mình biết được quán này mình đi buổi tối quán động cực kì chỗ ngồi san sát nhau vì số lượng khách động nên việc ngồi chờ món lâu hơn vỏ bánh tráng mềm dai bánh nóng nên ăn liền sẽ ngon hơn,". Xem qua chương trình ẩm thực của nghệ sĩ Việt Hương mình biết được quán này. Mình đi buổi tối quán động cực kì chỗ ngồi san sát nhau, vì số lượng khách động nên việc ngồi chờ món lâu hơn. 😤 . Vỏ bánh tráng mềm dai, bánh nóng nên ăn liền sẽ ngon hơn 😋",restaurant,0,0,0,0,0,1,0,0,1,0,0,-1
phở cuốn khá chắc nhân nhiều nước chấm ngon người ăn phần là vừa ko no mấy bánh phở hơi cứng ko dai trong loại mình thích pc nem hơn nem nướng đậm vị dùng với thêm nước chấm là tuyệt pc nem 45k ppc tôm thịt 38k,"(+) Phở cuốn khá chắc, nhân nhiều, nước chấm ngon, 1 người ăn phần là vừa, ko no mấy.(-) Bánh phở hơi cứng, ko dai.Trong 2 loại mình thích pc nem hơn, nem nướng đậm vị, dùng với thêm nước chấm là tuyệt!PC Nem-45k/pPC Tôm thịt-38k/p",restaurant,0,0,0,0,0,0,1,0,0,0,0,0
bánh cuốn tây hồ chất lượng tuyệt vời địa chỉ 127 đinh tiên hoàng đa kao q1 quán này nằm trên đường đinh tiên hoàng cũng đã rất lâu nổi tiếng nên chắc bạn nào mê bánh cuốn cũng đã từng dùng bánh cuốn tại đây về không gian không gian quán hơi nhỏ nhiều khi vào giờ cao điểm khách đến đông quá phải ngồi chung bàn với người khác hoặc phải đợi có chỗ mới được ngồi và không có máy lạnh chỉ có quạt máy nên cũng hơi nóng chút về thức ăn phần bánh cuốn tuy không nhiều nhưng vừa đủ no cực kì chất lượng chất lượng từ hình thức đến mùi vị hình thức trang trí bắt mắt mùi vị đậm đà với chả quế chả lụa về cung cách phục vụcó thể nói đây nhân viên phục vụ cũng khá chiều khách tận tình về giá cả có vẻ hơi đắt nhưng mà tiền nào của nấy bánh cuốn đây đã nổi tiếng từ lâu đời nên chuyện giá đắt như vậy cũng chấp nhận được nói chung là nên dùng thử bánh cuốn tại đây các bạn sẽ ghiền đấy,"[ Bánh cuốn Tây Hồ - Chất lượng tuyệt vời ]Địa chỉ: 127 Đinh Tiên Hoàng, Đa Kao, Q1. Quán này nằm trên đường Đinh Tiên Hoàng cũng đã rất lâu & nổi tiếng, nên chắc bạn nào mê bánh cuốn cũng đã từng dùng bánh cuốn tại đây*** Về không gian:Không gian quán hơi nhỏ, nhiều khi vào giờ cao điểm, khách đến đông quá phải ngồi chung bàn với người khác hoặc phải đợi có chỗ mới được ngồi :(Và không có máy lạnh, chỉ có quạt máy nên cũng hơi nóng 1 chút*** Về thức ăn:1 phần bánh cuốn tuy không nhiều, nhưng vừa đủ no & cực kì chất lượng, chất lượng từ hình thức đến mùi vị- Hình thức trang trí bắt mắt- Mùi vị đậm đà với chả quế & chả lụa*** Về cung cách phục vụCó thể nói ở đây nhân viên phục vụ cũng khá chiều khách, tận tình *** Về giá cả:Có vẻ hơi đắt, nhưng mà tiền nào của nấy, bánh cuốn ở đây đã nổi tiếng từ lâu đời, nên chuyện giá đắt như vậy cũng chấp nhận được :)) Nói chung là nên dùng thử bánh cuốn tại đây, các bạn sẽ ghiền đấy !",restaurant,-1,0,0,0,0,1,1,0,1,0,0,1
bánh đa trộn b6 tt nghĩa tân điểm khác với mọi chỗ mình ăn là bât bưng ra nóng hổi kiểu ăn luôn và ngay mới ngon vắt tầm quả quất mới đáp ứng độ chua của mình bánh đa mềm mà vẫn dai giò tai cắt miếng to ăn giòn giòn miếng chả cá hơi còi cọc đây hơi giống phùng hưng chỗ là sẽ bị nhạt nên bạn gọi thêm xì dầu nhé30k bát đầy đặn nước dùng khá thơm dậy mùi cua 3k trà đá 10 nghìn cốc,"[BÁNH ĐA TRỘN - B6 TT NGHĨA TÂN]Điểm khác với mọi chỗ mình ăn là bât bưng ra nóng hổi, kiểu ăn luôn và ngay mới ngon. Vắt tầm 3 quả quất mới đáp ứng độ chua của mình. Bánh đa mềm mà vẫn dai, giò tai cắt miếng to ăn giòn giòn, miếng chả cá hơi còi cọc. Ở đây hơi giống Phùng Hưng ở chỗ là sẽ bị nhạt nên bạn gọi thêm xì dầu nhé30k/bát đầy đặn, nước dùng khá thơm dậy mùi cua. 3k trà đá, 10 nghìn 3 cốc =))",restaurant,0,0,0,0,1,1,0,0,0,0,0,0
meete co đang khuyến mãi combo mì udon hải sản vs bánh mochi chỉ 49k mì udon đây hơi ít được khoảng nước dùng nấu sệt sệt đậm mùi hải sản có vị cay khá ít nên phù hợp vs những ng thích ăn cay nhiều như mình tô mì khá chất lượng có hẳn con ghẹ to luôn cơ mà con ghẹ mình ăn hơi ít thịt tô mì vừa dc nấu ăn nóng hổi quán đi tối hơi bị đông đấy đi trưa như mình vắng cho khỏe bánh mochi ăn oke quán có bán sushi giá cũng khá oke cho sinh viên nữa,"@meete.co đang khuyến mãi combo mì udon hải sản vs bánh mochi chỉ 49k. Mì udon ở đây hơi ít được khoảng nước dùng nấu sệt sệt, đậm mùi hải sản, có vị cay khá ít nên phù hợp vs những ng k thích ăn cay nhiều như mình. Tô mì khá chất lượng có hẳn 1 con ghẹ to luôn o.O cơ mà con ghẹ mình ăn hơi ít thịt. Tô mì vừa dc nấu, ăn nóng hổi. Quán đi tối hơi bị đông đấy. đi trưa như mình vắng cho khỏe. Bánh mochi ăn oke. Quán có bán sushi giá cũng khá oke cho sinh viên nữa",restaurant,0,0,0,0,1,1,0,0,0,0,0,0
meetesaigon đang có khuyến mãi mua gà trái tim 60k được tặng món đồng giá hoặc thấp hơn gà đây cũng làm theo style gà đài loan giống của oppa chicken nhưng so sánh thì vị bên đây đậm đà ăn thích hơn gà nóng hổi nên lớp da cắn vào giòn rụm gà trái tim chủ yếu là từ phần thịt ức gà thường ăn sẽ khô bở nhưng đây thịt vẫn rất mềm và dai gà viên 45k gia vị ướp thấm đều nhưng vì là mấy cục thịt gà nhỏ nhỏ thôi nên mình thích lắm bánh khoai tây 28k vì được ướp hẳn gia vị vào trong nên rất ngon tiếc là khoai tây hơi bị bở trà bí đao uống ngọt thanh rất thích hợp để giải nhiệt sau khi ăn đống đồ chiên này điểm trừ của quán là có tí rau củ ăn kèm nào nên ăn mấy đống đồ chiên này thì mình thấy hơi ngán giá cả rất sinh viên 15 60k cho quán như thế này,"@meetesaigon đang có khuyến mãi mua 1 gà trái tim 60k được tặng 1 món đồng giá hoặc thấp hơn 😚😚Gà ở đây cũng làm theo style gà Đài Loan giống của oppa chicken nhưng so sánh thì vị bên đây đậm đà ăn thích hơn. Gà nóng hổi nên lớp da cắn vào giòn rụm. Gà trái tim chủ yếu là từ phần thịt ức gà thường ăn sẽ khô, bở nhưng ở đây thịt vẫn rất mềm và dai. Gà viên 45k gia vị ướp thấm đều nhưng vì là mấy cục thịt gà nhỏ nhỏ thôi nên mình k thích lắm :( . Bánh khoai tây 28k vì được ướp hẳn gia vị vào trong nên rất ngon tiếc là khoai tây hơi bị bở :(( . Trà bí đao uống ngọt thanh rất thích hợp để giải nhiệt sau khi ăn đống đồ chiên này 🙄Điểm trừ của quán là k có tí rau củ ăn kèm nào nên ăn mấy đống đồ chiên này thì mình thấy hơi ngán :((( . Giá cả rất sinh viên 15 - 60k cho 1 quán ở Q.1 như thế này.",restaurant,0,0,1,0,1,1,0,1,0,0,1,0
